,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
1682,Italy,"Il Veltro is a newish brand of Brunello from Montalcino that opens with bright berry nuances and background notes of spice, cola, tobacco and leather. The mouthfeel is rich and firm, enduring but not too heavy or overdone.",,90,,Tuscany,Brunello di Montalcino,,,,Il Veltro 2005  Brunello di Montalcino,Sangiovese Grosso,Il Veltro
1683,US,"Fruit-driven, with pear and apple, but an interesting streak of licorice running down the spine of the wine. It has depth and good structure, so the now-dominant young fruit will have support as it ages. Worth sitting on for a couple more years.",,90,16,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Lange 2010 Pinot Gris (Willamette Valley),Pinot Gris,Lange
1684,Austria,"Complex, mineral wine, crisp but also very, very textured. Flavors of peach and red apples work with pink grapefruit to give the fruit character, while there is also a more serious complexity of green herbs. The finish is soft, still mineral. Screwcap.",,90,16,Traisental,,,Roger Voss,@vossroger,Markus Huber 2010 Grüner Veltliner (Traisental),Grüner Veltliner,Markus Huber
1685,Italy,"Rosemary-marinated steak, roast pork roll stuffed with prunes or dark chicken or turkey meat would make perfect paring partners to this red blend from southern Tuscany. Aromas of spice, mature cherry and leather are soft and penetrating.",Colpetroso,90,,Tuscany,Maremma,,,,Massi di Mandorlaia 2007 Colpetroso  (Maremma),Red Blend,Massi di Mandorlaia
1686,US,"Fragrant with a mix of sweet grass and dusty blossom, this pleasant Sauvignon Blanc makes you wonder why the grape is so rare in Oregon. Here in the Umpqua Valley it finds a sweet spot, fresh and varietal, round and tart, with the added complexity of the flowery aromatics.",,90,18,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Melrose 2010 Sauvignon Blanc (Umpqua Valley),Sauvignon Blanc,Melrose
1687,Italy,"Sweet pipe tobacco and red cherry open the nose of this plush Syrah from Maremma, Tuscany. Soft, chewy tannins make this inky red wine appropriate to pair with grilled porcini mushrooms or veal in cream sauce.",Pieve dei Monaci,90,,Tuscany,Maremma,,,,Pieve Vecchia 2007 Pieve dei Monaci  (Maremma),Syrah,Pieve Vecchia
1688,US,"As soft and smooth as velvet, with superripe flavors of chocolate, blackberry and cherry pie filling, currants, cassis and sweetly toasted oak. A best blend of vineyards available to the winery, this Cab was aged in 100% new French oak. The alcohol level is high, leading to questions of ageability.",Mimbre,90,115,California,Napa Valley,Napa,,,Piña 2007 Mimbre Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Piña
1689,US,"Lots of tannins and acidity on this dry Grenache, but it's so rich and sweet in cherries, you can drink it now. Somehow manages to be fun and serious at the same time. A real success for this finicky variety in California.",Sawyer Lindquist Vineyard,90,35,California,Edna Valley,Central Coast,,,Qupé 2009 Sawyer Lindquist Vineyard Grenache (Edna Valley),Grenache,Qupé
1690,US,"An unusual blend of Viognier and Chardonnay, the wine is brilliantly dry and crisp. It's rich and spicy in citrus, tropical fruit and spice flavors, brightened with bracing acidity. Opulent, yet crisp and refreshing.",Bien Nacido Cuvée,90,20,California,Santa Maria Valley,Central Coast,,,Qupé 2010 Bien Nacido Cuvée White (Santa Maria Valley),White Blend,Qupé
1691,France,"Rich and broad in the mouth, with notes of honeyed citrus reminiscent of tangerine and a tang of peppery spice. The finish is warm, spicy and long, with a hint of vanilla oak. Drink it now and over the next year or two for its undeniable richness.",Vieilles Vignes,90,63,Rhône Valley,Châteauneuf-du-Pape,,Joe Czerwinski,@JoeCz,Tardieu-Laurent 2009 Vieilles Vignes White (Châteauneuf-du-Pape),Rhône-style White Blend,Tardieu-Laurent
1692,US,"Rich and opulent, showing masses of honeydew melon, orange crème, vanilla and spicy flavors. Really seductive, so easy to like. A touch of oak adds just the right note of smoke. Great with roast pork.",,90,18,California,Santa Barbara County,Central Coast,,,Tessa Marie 2009 Grenache Blanc (Santa Barbara County),Grenache Blanc,Tessa Marie
1693,Austria,"With fruit picked on January 7, 2009, this superrich wine shines with acidity that picks out the fuller honey flavors. It has an almost unctuous texture, very smooth, with orange zest and peach giving a fresh side to the wine.",Eiswein 375ml,90,44,Niederösterreich,,,Roger Voss,@vossroger,Türk 2008 Eiswein 375ml Grüner Veltliner (Niederösterreich),Grüner Veltliner,Türk
1694,US,"In a word, wow. What a wonderful Cabernet Sauvignon. It has got to be one of the best buys out there, so rich and smooth in berry, cherry, currant and spice flavors. Only 640 cases were produced, but worth a search. Drink now.",,90,12,California,California,California Other,,,Ugly Duckling 2009 Cabernet Sauvignon (California),Cabernet Sauvignon,Ugly Duckling
1695,Argentina,"Solid and smooth from the beginning, with cola, pastry and blackberry aromas. The palate is fresh, full and healthy, with cola, black pepper and a ton of berry push. Toasty and roasted on the finish, where coffee comes into play. Right on the spot for value-priced Malbec.",Torcidas,90,15,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Finca Vides 2009 Torcidas Malbec (Mendoza),Malbec,Finca Vides
1696,Italy,"The fruit appears very ripe, almost too ripe, making the wine difficult to pair with food because of the width and intensity of its jammy nose. Yet more harmonious tones of chocolate, coffee and spice kick in at the rear to add dimension.",Quercegobbe,86,50,Tuscany,Toscana,,,,Petra 2003 Quercegobbe Merlot (Toscana),Merlot,Petra
1697,Israel,"While oak can commonly overwhelm Chardonnay, this is a perfect example of an appropriate balance. Toasted notes of almond and peach pit intertwine with red apple and underripe pear; crisp acidity shines through on the finish.",Kosher,86,16,Galilee,,,Lauren Buzzeo,@laurbuzz,Recanati 2006 Kosher Chardonnay (Galilee),Chardonnay,Recanati
1698,Italy,"As much as Tuscany and Syrah seem to be a match made in heaven, this wine is lower in overall intensity and rather neutral in aromas. Pretty cherry-berry and fine wood nuances are measured and understated. Firm structure and tannins, with a tart cherry note on the close.",Solista,86,85,Tuscany,Toscana,,,,Terralsole 2005 Solista Syrah (Toscana),Syrah,Terralsole
1699,Italy,"Amarone producer Tommasi has produced this approachable blend of Sangiovese and Cabernet. The aromas are simple but direct, including cherry, spice and vanilla.",Poggio al Tufo Rompicollo,86,16,Tuscany,Maremma,,,,Tommasi 2005 Poggio al Tufo Rompicollo  (Maremma),Red Blend,Tommasi
1700,Portugal,"Rounded but also fruity, this soft wine is perfumed, hinting at white flowers and tropical fruits. While the acidity is low, the fruit is easy, ripe and lightly structured.",Galeria,86,15,Bairrada,,,Roger Voss,@vossroger,Caves Aliança 2006 Galeria Bical (Bairrada),Bical,Caves Aliança
1701,Spain,"This tiny production SB is sweet and easygoing, with canned peach aromas along with pineapple and mild citrus flavors. Roundness and a smooth feel work in the wine's favor, because there's just enough acidity to push the length on the finish. Drink right away.",Doña Beatriz,86,12,Northern Spain,Rueda,,Michael Schachner,@wineschach,Bodegas Cerrosol 2006 Doña Beatriz Sauvignon (Rueda),Sauvignon,Bodegas Cerrosol
1702,US,"The '06 vintage was kind to the winery's basic Sauvignon Blanc, providing a clean, crisp, dry white with flavors of lemon, lime, pineapple, nectarine and honey, and a zingy touch of tart gooseberry. Shows a complexity you don't usually find at this price.",,86,14,California,Sonoma County,Sonoma,,,Dry Creek Vineyard 2006 Fumé Blanc (Sonoma County),Fumé Blanc,Dry Creek Vineyard
1703,US,"Pronounced minerality and fresh, bright fruit are balanced nicely in this stylish wine. A touch of spice adds dimension. Pair with poultry dishes.",,86,10,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Prejean 2006 Chardonnay (Finger Lakes),Chardonnay,Prejean
1704,Israel,"The 18 months of aging in 90% American oak really shows in the forward flavors and aromas of vanilla and mocha. Some black fruit shines through on the palate in the form of cassis and black cherry. Balanced and round, though generally light weight.",Estate Bottled Reserve Kosher,86,35,Negev Hills,,,Lauren Buzzeo,@laurbuzz,Kadesh Barnea 2004 Estate Bottled Reserve Kosher Cabernet Sauvignon (Negev Hills),Cabernet Sauvignon,Kadesh Barnea
1705,Italy,"A ripe, thickly extracted Sangiovese that offers loads of blueberry fruit and cookie dough aromas. It's surprisingly thick and creamy in the mouth with toasted nut flavors on the close.",Patrimonio,86,15,Tuscany,Toscana,,,,Antonino Tringali-Casanuova 2005 Patrimonio Sangiovese (Toscana),Sangiovese,Antonino Tringali-Casanuova
1706,Australia,"This medium-bodied Chardonnay features ample apple, pear and pineapple fruit that comes across as pleasant and mouthfilling, if also a bit one-dimensional. Still, it represents a reasonable value.",Lost Block,86,14,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Tyrrell's 2006 Lost Block Chardonnay (South Eastern Australia),Chardonnay,Tyrrell's
1707,Australia,"This is a straightforward, plump, fruity Chardonnay. Round peach and lemon flavors get a burst of energy from hints of pineapple and citrus, finishing clean and fresh. Drink now.",,86,23,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Vasse River 2006 Chardonnay (Margaret River),Chardonnay,Vasse River
1708,Spain,"Starts out sharp and funky, and then quickly you realize that it's showing signs of age. The wine blends sweet and sour notes on both the bouquet and palate, issuing primary grapefruit flavors and some mustard greens on the finish. But the feel is chunky and it's losing its zest day by the day.",,86,15,Northern Spain,Rueda,,Michael Schachner,@wineschach,Vega de la Reina 2006 Verdejo (Rueda),Verdejo,Vega de la Reina
1709,Italy,"The packaging is totally crazy but the wine is more subdued. A blend of Syrah, Merlot and Cabernet, it delivers raw strawberry, green leaf notes and loads of dried hay. It has a sharp, solid build and rigid tannins.",Wine Obsession I Miti,86,65,Tuscany,Toscana,,,,Villa Vignamaggio 2003 Wine Obsession I Miti Red (Toscana),Red Blend,Villa Vignamaggio
1710,US,"This Central Coast vineyard has produced an extraordinarily rich, vibrant Viognier, brimming with tropical fruit, wildflower, honey and vanilla-spice flavors. It benefits from crisp acidity, and finishes clean and off-dry.",Vista Verde Vineyard,86,25,California,San Benito County,Central Coast,,,Vinum Cellars 2006 Vista Verde Vineyard Viognier (San Benito County),Viognier,Vinum Cellars
1711,Spain,"While we'd suggest waiting for the 2007 to hit the market, this softer-styled wine is showing mature melon, tropical fruit and bee's wax aromas in front of mild citrus, lemon and pineapple flavors. It has a medium-weight body and almost a honeyed roundness. Drink now.",,85,10,Northern Spain,Rueda,,Michael Schachner,@wineschach,Analivia 2006 Verdejo (Rueda),Verdejo,Analivia
1712,Australia,"Seems almost sweet, with cherry and chocolate flavors that dominate the palate. Drink now.",,85,20,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Battle of Bosworth 2005 Shiraz-Viognier (McLaren Vale),Shiraz-Viognier,Battle of Bosworth
1713,Italy,"This Sangiovese from a hot vintage definitely seems past its peak. It has a very sweet-smelling, cherry-driven nose with a touch of marmalade that is blasted by a sudden rush of oak wood.",Birba,85,29,Tuscany,Toscana,,,,La Gerla 2003 Birba Sangiovese Grosso (Toscana),Sangiovese Grosso,La Gerla
1714,Portugal,"A firm wine, with dark chocolate and coffee flavors. The fruit flavors are  dark fig and stewed plums; there is a bitter edge to the tannins.",Reserva,85,20,Douro,,,Roger Voss,@vossroger,Quinta do Grifo 2004 Reserva Red (Douro),Portuguese Red,Quinta do Grifo
1715,Israel,"Raspberry and cherry mingle with essence of mocha, tomato and pepper. Solid structure, full flavors and smooth tannins create a clean yet gripping texture, finishing strong and lengthy.",Kosher Reserve,85,23,Galilee,,,Lauren Buzzeo,@laurbuzz,Recanati 2004 Kosher Reserve Shiraz (Galilee),Shiraz,Recanati
1716,US,"Here's a likeable Chard, with peach, pear and fig flavors that have a distinctly herbal edge, like dried sage. Turns buttery and vanilla-y on the finish.",,85,19,California,Carneros,Napa-Sonoma,,,St. Clement 2006 Chardonnay (Carneros),Chardonnay,St. Clement
1717,Portugal,"A soft, lightly sweet style of rosé, flavored with strawberries and a touch of caramel. Fresh, and flavorful, with balancing acidity, this is a good apéritif wine.",,85,11,Ribatejano,,,Roger Voss,@vossroger,Quinta da Alorna 2006 Touriga Nacional (Ribatejano),Touriga Nacional,Quinta da Alorna
1718,Spain,"This wine is a “product” in every sense of the word. It's consistent from year to year, and if you know Esmeralda, with its sweet blend of Moscatel and Gewürz, then you know that it delivers simple but pleasant lime, kiwi and cantaloupe flavors with a certain watery freshness.",Viña Esmeralda,85,15,Catalonia,Catalunya,,Michael Schachner,@wineschach,Torres 2006 Viña Esmeralda Moscatel (Catalunya),Moscatel,Torres
1719,US,"With a honeyed edge of sweetness to the pineapple and lime flavors, this wine also has a zesty acidity that makes it finish with mouthwatering cleanness. It's easy to like, a nice late afternoon cocktail sipper, and good with baked ham or pot stickers.",,85,10,California,Lodi,Central Valley,,,Renwood 2006 Pinot Grigio (Lodi),Pinot Grigio,Renwood
1720,Spain,"Clean, wet, a bit sweet and rather formulaic, this Verdejo has a soft, chummy personality and seemingly more than a dash of residual sugar. Still, it manages to push tasty apple cider, papaya and other fuller-bodied, less acidic flavors.",,85,10,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Tapeña 2006 Verdejo (Vino de la Tierra de Castilla),Verdejo,Tapeña
1721,Spain,"The winery has dialed back the time in oak for its barrel-fermented Viura to two months from five or six, and it's a decidedly less oaky wine than in years prior. Now it shows a controlled lees character along with lemon and apple flavors. Limited in what it offers, but made well.",Blanco Fermentado en Barrica,85,8,Northern Spain,Rioja,,Michael Schachner,@wineschach,Marqués de Cáceres 2006 Blanco Fermentado en Barrica White (Rioja),White Blend,Marqués de Cáceres
1722,Spain,"White raisin and touches of lettuce and celery give this multigrape blend some richness but also a bit of green character. The palate shows lemon, green apple and pineapple, and this lean quality is confirmed by the wine's modest 11% alcohol level. Drink now to catch it at its scouring, sorbet-like best.",Versatus,85,10,Galicia,Ribeiro,,Michael Schachner,@wineschach,Bodegas Campante 2006 Versatus White (Ribeiro),White Blend,Bodegas Campante
1723,Australia,"Tart blackberry and vanilla flavors mark this bold Shiraz that shows its 14.5% alcohol. There's a rubbery note on the nose that's a bit distracting but should be taken care of by a quick decanting, while black olive and coffee notes emerge on the slightly warm finish.",Nine Gums Vineyard,85,30,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Brick Road 2005 Nine Gums Vineyard Shiraz (McLaren Vale),Shiraz,Brick Road
1724,US,"The earthy spice character of this masculine but poised Pinot makes it a unique and stylish pick for red wine lovers. Flavors are balanced, the acids are in check and the finish is delicate but spicy. Overall, a nice wine with class.",Barrel Select,85,22,Pennsylvania,Pennsylvania,,Susan Kostrzewa,@suskostrzewa,Chaddsford 2005 Barrel Select Pinot Noir (Pennsylvania),Pinot Noir,Chaddsford
1725,US,"Layers of round, appealing Chardonnay aromas lead into this nicely balanced offering from New York. Earthy spice and good acidity give the wine both complexity and elegance, and the finish is lengthy. A good wine for solo sips or pairing with poultry and fish.",,85,18,New York,New York,New York Other,Susan Kostrzewa,@suskostrzewa,Ventosa 2005 Chardonnay (New York),Chardonnay,Ventosa
1726,Spain,"For classic Rioja, Monte Real is always a good bet. This offering delivers textbook aromas of dried raspberry and cherry offset by fallen leaves and a pinch of seashell. The palate is still quite fresh, while black cherry, raisin, spice and cocoa flavors finish smooth and long, with a touch of oxidation and a Sherry note for added complexity. Drink through 2022.",Monte Real Gran Reserva,92,47,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Riojanas 2006 Monte Real Gran Reserva  (Rioja),Tempranillo,Bodegas Riojanas
1727,France,"Laced with acidity, this is a complex, structured wine with great freshness as well as a dry core of botrytis. It has a rich potential, closed at the moment but holding dense texture and balance between lemon and honey. Drink from 2019.",,92,,Bordeaux,Sauternes,,Roger Voss,@vossroger,Château de Malle 2011  Sauternes,Bordeaux-style White Blend,Château de Malle
1728,US,"Coming from an extreme coastal vineyard three miles north of Cambria, this cool-climate study offers aromas of blistered cherry tomatoes, Eastern European goulash spices and crushed peppercorns of all colors. It's fresh and lively on the palate, with hints of rose and tart raspberry. At the same time, it's quite vegetal, with green notes that will evolve into more balanced umami flavors from 2017 to 2022.",Steiner Creek Vineyard,92,48,California,San Luis Obispo County,Central Coast,Matt Kettmann,@mattkettmann,Presqu'ile 2012 Steiner Creek Vineyard Pinot Noir (San Luis Obispo County),Pinot Noir,Presqu'ile
1729,US,"From a vineyard 1,700 feet above the small town of Corralitos comes this tasty wine that begins with aromas of smoked apple, lemon zest, honeysuckle and sea salt, as well as a struck-match element. The palate shows flavors of fresh apple, chamomile and a dusting of crushed vanilla, all set against a chalky grip.",Split Rail Vineyard,92,30,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Sante Arcangeli 2013 Split Rail Vineyard Chardonnay (Santa Cruz Mountains),Chardonnay,Sante Arcangeli
1730,US,"A blend of fruit sources used for the winery's three single-vineyard wines, this bottling saw no new oak and is light golden in color with reserved notes of mineral, almond, pineapple and lees. Full bodied, rich and layered with a creamy feel, it's appealing now but should have a long life ahead.",Uncovered,92,35,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Sixto 2012 Uncovered Chardonnay (Washington),Chardonnay,Sixto
1731,US,"This blend of Syrah, Mourvèdre, Carignan, Counoise, Grenache and Cinsault immediately appeals with its aromas of plum, candied raspberry and garrigue, with no oak influence anywhere in sight. It's fruit laden, focused and supple, with a feel that dazzles the senses and pure fruit flavors that just won't quit.",Subduction,92,20,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Syncline 2013 Subduction Red (Columbia Valley (WA)),Rhône-style Red Blend,Syncline
1732,Italy,"Classic Sangiovese aromas of underbrush, pressed powder, violet and wild berry mingle in the glass. The vibrant palate offers layers of black cherry, dried red cherry, white pepper, truffle and savory herb alongside firm but refined tannins and bright acidity. This is all about polish and finesse. Drink 2018–2028.",,92,90,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Lambardi 2010  Brunello di Montalcino,Sangiovese,Lambardi
1733,France,"Rounded and rich, this generous, full-bodied wine comes from a single parcel in the heart of Saint-Émilion. Black fruits are structured with dense tannins and a firm tension between ripeness and dryness. The wine is powerful, finishing with pepper and spice. Drink from 2018.",,92,135,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Le Carré 2012  Saint-Émilion,Bordeaux-style Red Blend,Le Carré
1734,US,"Whereas many Syrahs from this vintage from the Rocks District show more fruit than usual, this wine is clearly rooted in the stones. It's aromatically expressive with black olive, crushed flowers, mineral, black pepper and an earthy funk. Flavors are silky soft in feel, with a well-balanced mixture of fruit and savory notes that leads to a lingering finish.",Some Days Are Stones Stoney Vine Vineyard,92,40,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Two Vintners 2012 Some Days Are Stones Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Two Vintners
1735,US,"This blend of Les Collines (60%), Lewis (20%) and Portteus (20%) vineyards, which saw 25% new French oak, offers blueberry and huckleberry along with herb and dark chocolate accents. It's supple and soft in feel, deft but with depth to the fruit flavors.",,92,40,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Va Piano 2012 Syrah (Columbia Valley (WA)),Syrah,Va Piano
1736,Italy,"This opens with an enticing fragrance of rose, violet, dark berry and underbrush. The firm palate delivers juicy wild cherry, cinnamon and star anise alongside firm but fine-grained tannins and bright acidity. Drink 2018–2028.",Ugolforte,92,50,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Tenuta San Giorgio 2010 Ugolforte  (Brunello di Montalcino),Sangiovese,Tenuta San Giorgio
1737,US,"Ian Brand explores fringe growing regions to deliver well-priced and fun wines for this label. This shows aromas of tight nectarine and Granny Smith apple, and the flavors are laser-focused with apple skins, yellow grapefruit pith and steely gunmetal. Its intense energy is a little wound up now, but will blossom with time.",Jack's Hill,92,22,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Le P'tit Paysan 2013 Jack's Hill Chardonnay (Monterey County),Chardonnay,Le P'tit Paysan
1738,Italy,"Aromas of tilled earth, leafy forest floor, porcini mushroom, truffle and ripe berry lead the nose. The palate offers wild cherry layered with medicinal herb, black pepper and grilled sage supported by firm tannins. It's still young and a bit disjointed so give it time to come together. Drink after 2018.",Riserva,92,80,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Lisini 2008 Riserva  (Brunello di Montalcino),Sangiovese,Lisini
1739,US,"The aging program for this Syrah, which comes from a vineyard near the intersection of the Carmel and Salinas valleys, results in a solidly balanced wine. Pepper, boysenberry and game consume the nose, with blackberry fruit, mint, tobacco and a greenish bitterness keeping the palate interesting.",,92,29,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Mesa Del Sol 2009 Syrah (Arroyo Seco),Syrah,Mesa Del Sol
1740,Italy,"This full-bodied red manages to be concentrated and weightless at the same time. It opens with aromas of blue flower, wild berry and a whiff of espresso. The smooth, almost creamy palate delivers a black cherry core while notes of graphite, clove, ground pepper and cake spice add depth. It's impeccably balanced, with velvety tannins and just the right amount of freshness. Drink through 2017.",Le Serre Nuove,92,75,Tuscany,Bolgheri,,Kerin O’Keefe,@kerinokeefe,Ornellaia 2012 Le Serre Nuove  (Bolgheri),Red Blend,Ornellaia
1741,US,"This is an extremely rare beast—a single-vineyard, single-varietal (Pinot Noir), single-vintage sparkling wine. Aged sur lie for 42 months, it draws you into the glass with notes of smoke, raspberry, mineral and nutty spices. The flavors are light and lively with tart, racy acidity and a long, lingering finish.",Atavus Vineyard Blanc de Noir,92,56,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Analemma 2010 Atavus Vineyard Blanc de Noir Pinot Noir (Columbia Gorge (WA)),Pinot Noir,Analemma
1742,US,"A deep, dark color, unusually ripe and exotic aromas, and intense flavors recalling boysenberry syrup make this a monster Zin. It's not very tannic or astringent, but the body is so rich and the alcohol relatively high that it oozes power and concentration. This will be great after a meal with cheese or chocolate.",Block 10,92,45,California,Alexander Valley,Sonoma,Jim Gordon,@gordone_cellars,Bella 2012 Block 10 Zinfandel (Alexander Valley),Zinfandel,Bella
1743,Italy,"Aromas of menthol, dried flower, ripe berry, leather and savory herb lead the nose. The rich palate delivers crushed wild cherry, stewed plum, cinnamon, anise and a hint of vanilla alongside round tannins. Despite its big, friendly structure, it also boasts finesse. Drink through 2022.",Poggiotondo,92,45,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Centolani 2010 Poggiotondo  (Brunello di Montalcino),Sangiovese,Centolani
1744,France,"Meaty and spicy, this wine is in an early stage of development. It has dark tannins that have an extracted, tough character. However, the weight of ripe fruit is all there, promising a rich and concentrated wine for the future. Drink from 2020.",,92,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Bouscaut 2012  Pessac-Léognan,Bordeaux-style Red Blend,Château Bouscaut
1745,France,"New-wood spice dominates the aroma of this wine, given weight by the rich black plum fruits and concentrated acidity. With its big structure and equally big fruits, this is an impressive wine for long aging. Drink from 2022.",,92,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Couhins 2012  Pessac-Léognan,Bordeaux-style Red Blend,Château Couhins
1746,France,"This wine has yeasty aromas and a light character that brings out springy acidity before the dry botrytis. It is still forming itself around the dry core, waiting to become generous and rich. Drink from 2019.",,92,,Bordeaux,Sauternes,,Roger Voss,@vossroger,Château d'Arche 2011  Sauternes,Bordeaux-style White Blend,Château d'Arche
1747,France,"One of the few great values from Pauillac, this 10-acre estate has produced an attractive perfumed wine that expresses both ripe black fruit and great structure. It's not a wine for long aging with its already-fragrant acidity. It has sweet tannins, delicious fruitiness and a lengthy aftertaste. Drink from 2019.",,92,49,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Gaudin 2011  Pauillac,Bordeaux-style Red Blend,Château Gaudin
1748,France,"As is often the case with Phélan Ségur, there is an excess of wood in this wine. Sometimes it works, as here, because the big, bold fruits are powerful enough to match the toastiness. That suggests a future as a ripe, black-fruited and structured wine with room for juicy acidity. Drink from 2019.",,92,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Phélan-Ségur 2012  Saint-Estèphe,Bordeaux-style Red Blend,Château Phélan-Ségur
1749,US,"This barrel-fermented wine has opulent aromas of nougat, butterscotch and pear tart. Equally interesting flavors stress the spice and pastry notes rather than straightforward fruitiness. It is attractively rich in mouth feel, dry, full-bodied and grand in style.",De Mayo Block,92,30,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Darcie Kent Vineyards 2012 De Mayo Block Chardonnay (Livermore Valley),Chardonnay,Darcie Kent Vineyards
1750,France,"Forward red fruits give a good beginning to this light and fruity blend of Merlot, Cabernet Franc and Cabernet Sauvignon. It is crisp with red currant flavors and layers of acidity. Drink now.",Château Les Vergnes,84,13,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Univitis 2013 Château Les Vergnes  (Bordeaux),Bordeaux-style Red Blend,Univitis
1751,Spain,"Briny lemon-lime aromas are simplistic. This blend of Moscatel and Merseguera is foamy, while good acidity keeps it on a level plane. Ripe, sweet flavors of lychee, honeydew and mango are pure Moscato, while acidity from the Mersequera helps this along.",Tarima,84,12,Levante,Alicante,,Michael Schachner,@wineschach,Volver 2014 Tarima Sparkling (Alicante),Sparkling Blend,Volver
1752,US,"This is a straightforward quaffer. Aromas of herbs, jasmine and stone fruit lead to sugary-sweet fruit flavors.",Late Harvest,84,10,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Washington Hills 2014 Late Harvest Riesling (Washington),Riesling,Washington Hills
1753,Spain,"From the beginning, this crianza from a very good vintage is lacking. The nose is mulchy and cheesy, with almost no fruit character. The palate is edgy in feel, while leafy, stalky red-fruit flavors are salty and taste of vanilla and caramel.",Crianza,84,25,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca La Pica 2011 Crianza  (Rioja),Tempranillo Blend,Finca La Pica
1754,France,Jammy fruits conflict with a firm tannic structure. This wine is not yet balanced and needs a lighter touch. Producer is Jean Paul Barre.,,84,20,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Saint-Urban 2013  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Saint-Urban
1755,Spain,"Aromas of rhubarb, herbs and strawberry mark the nose. This feels solid and mostly fresh, while flavors of pickled rhubarb and briny plum come with sugary sweetness in front of a salty finish.",Brut Rose,84,13,Catalonia,Cava,,Michael Schachner,@wineschach,Conde de Subirats NV Brut Rose Sparkling (Cava),Sparkling Blend,Conde de Subirats
1756,US,"This wine is a field blend of Syrah, Mourvèdre and Grenache from Bishop's vineyard. Aromas of herbs, berry, cumin and wet copper penny are followed by smooth-feeling dark berry flavors with a tart, mesquite-filled finish.",Bishop's Block,84,29,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Crayelle Cellars 2013 Bishop's Block Red (Ancient Lakes),Rhône-style Red Blend,Crayelle Cellars
1757,France,"Lemon and spice make this a fruity while textured wine. It tastes like the chalk soil from which it comes, very mineral and flinty. This wine is all fruit now and will broaden out from 2016.",Les Grenettes,84,15,Loire Valley,Touraine,,Roger Voss,@vossroger,Domaine Beausejour 2014 Les Grenettes Sauvignon Blanc (Touraine),Sauvignon Blanc,Domaine Beausejour
1758,France,"This is just recognizably Pinot Noir, full of tannins with a tight edge. Bitter cherry flavors and very fresh acidity give a mineral flavor that is only just showing juiciness. Drink from 2016.",,84,19,France Other,Vin de Savoie,,Roger Voss,@vossroger,Les Rocailles 2014 Pinot Noir (Vin de Savoie),Pinot Noir,Les Rocailles
1759,Spain,"Charred, blackened aromas of mint, licorice and burnt tire overshadow the wine's black-fruit components. This feels thick and dense, with chewy weight. Medicinal, herbal flavors of black fruits are peppery and a bit green, while mint and cough drop notes control the finish of this 85% Garnacha Tintorera and 15% Monastrell blend.",,84,10,Central Spain,Almansa,,Michael Schachner,@wineschach,Niel Santofimia 2013 Red (Almansa),Red Blend,Niel Santofimia
